Year,esi_score,z_score,crisis_year
1991,0.9040377600158462,2.631486712238605,True
1992,0.7416743474793962,1.7327883555863814,True
1993,0.505013520979558,0.42284609373835474,False
1994,0.6036971848496602,0.9690704257045935,False
1995,0.6221491880245262,1.071204180293368,False
1996,0.5657523465955986,0.7590418038024515,False
1997,0.5249279900997215,0.5330747492728923,False
1998,0.7158050448162256,1.5895990777316116,False
1999,0.3488094790477822,-0.44175950670754016,False
2000,0.38179977008925653,-0.2591548183649888,False
2001,0.35531641491482285,-0.4057429406647561,False
2002,0.38690801138762343,-0.23088017207301867,False
2003,0.2986880870611591,-0.7191866185661793,False
2004,0.28703764162117634,-0.7836730444647997,False
2005,0.2942068240718648,-0.7439908747793892,False
2006,0.3579168930804929,-0.3913490238488416,False
2007,0.3921655620832284,-0.20177908275528092,False
2008,0.5450549286600852,0.6444794452328177,False
2009,0.5594227592799351,0.7240068804166394,False
2010,0.5793320890189564,0.8342070889426141,False
2011,0.5163706870709891,0.4857091879733576,False
2012,0.54448792167963,0.6413410026884975,False
2013,0.5484144476693728,0.663074731976442,False
2014,0.3991433419932601,-0.1631563460176023,False
2015,0.31600097239800096,-0.6233579995561226,False
2016,0.302577247555484,-0.6976597111773496,False
2017,0.25441541319710026,-0.9642404679812827,False
2018,0.28696107381195607,-0.7840968552436183,False
2019,0.2406220423066185,-1.0405882088812697,False
2020,0.5250328455116374,0.5336551348714877,False
2021,0.18820367378030395,-1.3307293245246345,False
2022,0.21536329962045161,-1.1803979738310146,False
2023,0.12784857468882205,-1.664801068409175,True
2024,0.1379225022742315,-1.609040832623243,True
