Model,CV_Mean_Accuracy,CV_Std,Split_Accuracy,Split_Precision,Split_Recall
LogisticRegression,0.8571,0.1278,1.0,1.0,1.0
RandomForest,0.7048,0.0923,0.8571,0.9167,0.8333
