"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000959488886147264","0.000698232167894007","0.000720702919318894","0.000760651086559827","0.000906166596082593","0.00131405293432615","0.00152577280324417","0.00153973985727839","0.00195640008459108","0.00109429704736333","0.00156960653691674","0.00192689765446378","0.00149030629815309","0","0","0","0","0","0","0","0","0","","","","",
"Africa Eastern and Southern","AFE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0","0","0","0","0.000250277616478934","0.103168693230824","0.102529682240879","0.064071526581643","0.169497690087684","0.859447798274339","0.423703456742725","0.194024279040575","0.578345890398442","0.827560981608319","1.18197211294809","0.417850382342611","0.898189848224511","0.767014497693606","1.29008154657163","1.54044703363483","0.792518822181463","1.21891810278067","1.19966913608006","1.04663397266175","1.15775423968895","1.47381055146331","1.34618810486856","0.716440594011167","1.2640328333756","2.90013736388298","2.37588358007371","3.05099295185254","2.35733862066723","3.12418440617648","4.88374999316467","5.69898938300066","6.85022973421681","10.6323403343923","4.94720096886122","6.11170340930816","7.25808676225312","5.82868451464021","5.32024511997123","4.16480190117337","1.71555844996457","1.55304164138886","2.32534172739906","3.02067628847655","2.46853330339957","1.32602625155396","2.32444006116665","","","","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0265662947026768","0.0453108139131106","0.0557663770385733","0.07633415678642","0.427935476827928","0.520410843483266","0.646363012764153","0.687944963914268","0.644109079334453","1.29349953039045","1.35005887806414","1.35474939888996","","","","","","","","","","","","","","","","","","","","","0.030789275783499","0.0256328025661278","0.0256051597697051","0.0258476198749782","0.0214070372585048","0.0144464639818204","0.015736313879498","0.00524173800288766","0.00514945564866915","0.00660239543706919","0.109823883946021","0.0672901618424767","0.0407438655716957","0.0136357996041316","0.00944508042929387","0.0134270806666745","0.018854416706035","0.0127772897517024","0.00517761905886768","0.0178695056581909","","","","",
"Africa Western and Central","AFW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0.314670524623791","1.04681756362066","1.66789848333829","18.8289491533775","12.7225058017758","11.9156210706978","14.0916067767543","10.8360654654434","27.4197166097511","16.4644543569724","3.831974551987","1.58243795647976","4.39102729654951","6.94765828145825","8.05394806741015","2.84789255284164","5.58190611960609","4.72149015465304","11.0050898241054","12.7855687822173","8.2681519691417","9.30860582367852","14.445354544718","12.6615893774887","12.2648720575731","13.0013229966261","11.7754941011747","5.76346295615096","6.27719359063505","14.974737682657","9.83150820445235","7.91104960853544","7.90959343295033","9.99353631915952","14.6578176817443","13.450365047399","12.4697714842471","13.9820858529303","7.52771778486922","10.7132719114469","13.7156563130945","12.0659252409081","9.00108921261344","6.6462924646533","2.67385648824812","2.44326425289358","4.61053317279365","6.55992788427896","5.86297899404912","2.9845963561932","5.42693016891707","","","","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.5416106844043","10.426247111977","4.09463309036246","11.21929927694","14.0994665560488","14.1586246957292","6.31853106919339","15.1707819484774","14.4045947596654","21.882605469383","28.0268256543238","16.8761491015161","27.0256548842449","34.5185265508012","40.5755094827092","41.0188156720936","39.0741439653244","37.3490232506807","21.7476800076135","38.5242698405316","57.5134839616206","42.5915766791073","31.7610292464785","27.1162657537214","32.9626955078503","42.2206783158613","40.2786520912475","45.3976036521592","52.1013581243545","29.7782995191992","37.7085091832735","38.6184358197859","34.3328389540912","29.0014846107501","21.736607448329","12.7187303090272","19.7483988340046","24.7110060055382","30.7304027285905","27.504828641196","18.5719595053837","28.2744398825844","","","","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","5.79911357215572","5.35720713662887","1.94987076169298","3.1040802885248","2.37853926219519","3.34558789124586","4.8458773941323","3.61748146583453","4.67814330470611","2.64923826281687","1.52228488071084","1.15951602844704","1.16070259405485","1.08835644606329","0.233494630433512","0.494725403679998","1.07150056484779","0.699922137592021","0.687177627386246","0.692722774590139","0.793153163005221","1.02095374629243","1.19244921679704","1.24943402811758","1.60465469310703","0.923660115710382","1.30954317181467","2.4548890851063","2.86635104305394","3.03392407525612","3.12207615711342","1.45260618469079","0.884410718287188","1.12614227560188","1.46983381887842","1.42437109584124","0.582225701330423","1.04218369204761","","","","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.7006148326008","12.702422440512","15.3773821759998","20.2143034563973","46.5776759825553","37.6758227055991","38.1653771217766","36.1822534116533","32.8668683160371","57.5628255264416","50.4084786375225","38.5511787415345","25.544271104925","24.5084348525437","24.2336997149271","21.2284062157721","13.3861394533558","16.8385705493212","16.0516405485467","22.1916356323075","22.4731789021707","17.7619706518893","19.6314443393774","19.2509005985113","18.5330519566508","18.2024957040479","21.2307999652908","18.6387002088578","12.6678693765713","16.7999456538504","26.2583990085528","21.1240958491096","20.4713197823179","23.0568475164179","27.5948472392105","33.0391592115269","33.6292398556043","31.2593539648791","35.0879546560441","22.351867381436","25.881509924647","32.6685074003249","32.2858806563276","29.7591503701319","26.5413610461237","15.5228170514695","13.174237508507","16.6893837160606","21.1354755425503","18.5497771756371","11.4770256712151","17.3095402398771","","","","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","37.4179603088941","36.8782876103444","30.8690345782272","31.4520067178137","56.0299307985901","41.9017222889892","33.037027439471","22.8797386280149","23.6932140726226","25.7520260229299","23.7113309073601","17.0122917735774","22.8978256173288","20.3567774890166","28.6130173334727","35.3156119922356","23.5124336664395","23.314265622308","20.8005002641545","16.966789757447","16.3473463917171","19.1112827067212","16.9646090621951","10.8323014620584","13.3744382605246","20.8440561536495","15.8062390008792","14.6453240587361","17.8057010079321","20.9182068452778","23.9417369873026","25.8820272214672","23.7183455650517","26.67204274176","18.418263242659","22.6797378677807","28.5990789001782","27.0648520266069","26.2480640478396","22.9458647037024","13.1025344354216","11.0807563620506","13.4985731745503","17.0989945007163","15.681591549088","10.4940977026696","15.6730945329946","","","","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.183779149216649","0.312886775004762","0.359047343543258","0.412805282018559","1.65885773770647","2.11889964582298","2.35967093826561","1.93385257138462","2.19019719332059","5.02863549439409","5.84241226408529","4.79626652315171","2.64858284193801","2.93199669852781","3.68570761843442","3.00657445804799","0.97146283280127","1.54851052425753","1.07039410413757","2.73924507290797","2.18272104761879","0.893993392718008","0.911490169536768","0.90189290799156","0.882210245002207","1.11368338221007","1.42093287722449","1.27158678591403","0.67625546126761","1.18222911614852","2.03921231896402","1.57828961704899","4.58801102253871","3.79526357487009","3.62815045579444","4.36083044381745","4.49089064691066","3.70577772027876","4.03900096602208","2.12453488071178","2.30522041977185","2.74533146547491","2.55649872416885","2.25387298647688","2.09270565105548","0.693912054976671","0.549552011638029","0.663565866238942","1.31095340723836","1.29099565501431","0.677055565819106","1.54438228879011","","","","",
