Year,Value
1960-01-01,0.0688503864853239
1961-01-01,0.0688503864853239
1962-01-01,0.0688503864853239
1963-01-01,0.0688503864853239
1964-01-01,0.0688503864853239
1965-01-01,0.0688503864853239
1966-01-01,0.0688503864853239
1967-01-01,0.0688503864853239
1968-01-01,0.0688503864853239
1969-01-01,0.0688503864853239
1970-01-01,0.0688503864853239
1971-01-01,0.0872182328096747
1972-01-01,0.0784205065259609
1973-01-01,0.0774270359807677
1974-01-01,0.426930778238217
1975-01-01,0.534883411071357
1976-01-01,0.613269459126098
1977-01-01,0.677970825323972
1978-01-01,0.675079133466502
1979-01-01,1.56638969176912
1980-01-01,0.985472823424609
1981-01-01,1.60586415416846
1982-01-01,1.36239469995123
1983-01-01,1.72210113737219
1984-01-01,1.72794649557927
1985-01-01,2.02171247713905
1986-01-01,0.907033865672225
1987-01-01,1.08844850277486
1988-01-01,0.816441006899181
1989-01-01,1.33074020544064
1990-01-01,1.72936446209105
1991-01-01,1.19195275573098
1992-01-01,0.961307658513148
1993-01-01,0.859559953245587
1994-01-01,0.79702774897854
1995-01-01,0.865833520899187
1996-01-01,0.960764449555637
1997-01-01,0.850995097336145
1998-01-01,0.429736693495449
1999-01-01,0.70843039067171
2000-01-01,1.19880896935781
2001-01-01,0.869871197224191
2002-01-01,0.898515923740017
2003-01-01,0.860363359311968
2004-01-01,1.06043123794654
2005-01-01,1.28780837185882
2006-01-01,1.33146821912931
2007-01-01,1.15214697247781
2008-01-01,1.58498271088646
2009-01-01,0.638793187629364
2010-01-01,0.815747227430213
2011-01-01,1.34852705756453
2012-01-01,1.31387208215422
2013-01-01,1.19335415579377
2014-01-01,0.945192923172492
2015-01-01,0.359940708852176
2016-01-01,0.220297977730946
2017-01-01,0.313225226270499
2018-01-01,0.446629594682818
2019-01-01,0.30502831579148
2020-01-01,0.144343868543637
2021-01-01,0.325610194100608
2022-01-01,0.325610194100608
2023-01-01,0.325610194100608
2024-01-01,0.325610194100608
2025-01-01,0.325610194100608
